circuitRef,year,average,fastestRound
osterreichring,1997,74986.2533,71814
osterreichring,1998,78521.0271,72878
osterreichring,1999,76098.6198,72107
osterreichring,2000,76906.9797,71783
osterreichring,2001,76860.5763,70843
osterreichring,2002,80723.6689,69298
osterreichring,2003,74695.3987,68337
albert_park,1996,99021.0505,93421
albert_park,1997,96326.9190,90585
albert_park,1998,97903.0701,91649
albert_park,1999,102112.6608,92112
albert_park,2000,99751.7057,91481
albert_park,2001,104914.2289,88214
albert_park,2002,107321.2171,88541
albert_park,2003,99997.8169,87724
albert_park,2004,90808.4571,84125
albert_park,2005,90332.4725,85683
albert_park,2006,101650.9617,86045
albert_park,2007,90397.8696,85235
albert_park,2008,98557.1823,87418
albert_park,2009,97427.7453,87706
albert_park,2010,101076.8096,88358
albert_park,2011,95618.7738,88947
albert_park,2012,98469.9291,89187
albert_park,2013,94959.4351,89274
albert_park,2014,100366.2450,92478
albert_park,2015,97062.1550,90945
albert_park,2016,115614.2832,88997
albert_park,2017,91105.8885,86538
albert_park,2018,93258.0576,85945
albert_park,2019,90420.9827,85580
estoril,1996,88531.9299,82873
imola,1996,93190.6475,88931
imola,1997,90288.2241,85531
imola,1998,93979.5676,89345
imola,1999,93189.2580,88547
imola,2000,90917.8970,86523
imola,2001,90223.0315,85524
imola,2002,88293.3406,84170
imola,2003,86954.6479,82491
imola,2004,85242.7116,80411
imola,2005,86257.2457,81858
imola,2006,90413.6693,84569
rodriguez,2015,87335.4092,80521
rodriguez,2016,86322.6119,81134
rodriguez,2017,83242.0220,78785
rodriguez,2018,85640.4243,78741
interlagos,1996,96868.4864,81547
interlagos,1997,81519.0485,78397
interlagos,1998,82933.0679,79337
interlagos,1999,82739.1158,78448
interlagos,2000,78847.1602,74755
interlagos,2001,85571.1850,75693
interlagos,2002,80097.6842,76079
interlagos,2003,104839.9138,82032
interlagos,2004,76011.6331,71473
interlagos,2005,78639.2066,72268
interlagos,2006,79271.3627,72162
interlagos,2007,76832.6024,72445
interlagos,2008,80924.8073,73736
interlagos,2009,79104.3850,73733
interlagos,2010,80874.4603,73851
interlagos,2011,79987.8402,75324
interlagos,2012,89864.1054,78069
interlagos,2013,79551.7606,75436
interlagos,2014,77145.1121,73555
interlagos,2015,78785.4619,74832
interlagos,2016,153655.5542,85305
interlagos,2017,78541.6769,71044
interlagos,2018,74915.3725,70540
galvez,1996,98446.6461,89413
galvez,1997,95692.0425,87981
galvez,1998,92765.5035,88179
monza,1996,90259.4163,86110
monza,1997,88592.7637,84808
monza,1998,90119.7420,85139
monza,1999,88680.9211,85579
monza,2000,103042.1839,85595
monza,2001,89274.4240,85073
monza,2002,88326.6054,83657
monza,2003,86474.2116,81832
monza,2004,86690.6040,81046
monza,2005,86136.4373,81504
monza,2006,86428.3626,82559
monza,2007,90796.2684,82871
monza,2008,99650.0740,88047
monza,2009,88049.0835,84739
monza,2010,88298.8697,84139
monza,2011,95309.7390,86187
monza,2012,91499.3314,87239
monza,2013,89949.1553,85849
monza,2014,91257.9493,88004
monza,2015,90377.7070,86672
monza,2016,90429.1422,85340
monza,2017,87423.6074,83361
monza,2018,88633.8097,82497
bahrain,2004,95387.9232,90252
bahrain,2005,96346.6223,91447
bahrain,2006,97186.3391,92408
bahrain,2007,100550.4159,94067
bahrain,2008,97601.3998,93193
bahrain,2009,97834.8249,94556
bahrain,2010,123994.8827,118287
bahrain,2012,101989.5539,96379
bahrain,2013,102525.8715,96961
bahrain,2014,105863.4654,97020
bahrain,2015,102143.0461,96311
bahrain,2016,100449.4471,94482
bahrain,2017,100056.3073,92798
bahrain,2018,98676.8977,93740
bahrain,2019,100355.9269,93411
BAK,2016,111348.1615,106485
BAK,2017,149324.7500,103441
BAK,2018,121717.2402,105149
BAK,2019,110312.6874,103009
buddh,2011,93231.4772,87249
buddh,2012,92968.0694,88203
buddh,2013,92783.9950,87679
catalunya,1996,113189.8372,105517
catalunya,1997,86331.2429,82242
catalunya,1998,88617.7748,84275
catalunya,1999,88875.9928,84982
catalunya,2000,88307.3463,84470
catalunya,2001,85841.1966,81151
catalunya,2002,85200.8302,80355
catalunya,2003,89375.6499,80143
catalunya,2004,81294.1935,77450
catalunya,2005,81753.0663,75641
catalunya,2006,80710.3365,76648
catalunya,2007,86263.0690,82680
catalunya,2008,91046.7625,81670
catalunya,2009,89878.9268,82762
catalunya,2010,89306.2667,84357
catalunya,2011,92749.4205,86727
catalunya,2012,91803.5865,86250
catalunya,2013,91925.9176,86217
catalunya,2014,93876.1550,88918
catalunya,2015,94366.1425,88270
catalunya,2016,93990.0300,86948
catalunya,2017,89566.0063,83593
catalunya,2018,89232.6417,78441
catalunya,2019,87557.5392,78492
monaco,1996,99796.0895,85205
monaco,1997,119601.4669,113315
monaco,1998,87478.9941,82948
monaco,1999,86060.8806,82259
monaco,2000,85511.0544,81571
monaco,2001,85217.3832,79424
monaco,2002,83429.2964,78023
monaco,2003,80484.4730,74545
monaco,2004,85515.9227,74439
monaco,2005,82586.5054,75842
monaco,2006,81079.0231,75143
monaco,2007,79119.6293,75284
monaco,2008,96772.8937,76689
monaco,2009,78432.4988,75154
monaco,2010,85808.7285,75192
monaco,2011,99203.5430,76234
monaco,2012,82576.8285,77296
monaco,2013,106209.1098,76577
monaco,2014,86113.0328,78479
monaco,2015,84532.0308,78063
monaco,2016,95728.8401,77939
monaco,2017,80751.6683,74820
monaco,2018,79857.7495,74260
monaco,2019,80587.3465,74279
magny_cours,1996,82347.8629,78610
magny_cours,1997,83838.6074,77910
magny_cours,1998,82264.0452,77523
magny_cours,1999,98496.0724,79227
magny_cours,2000,83375.0378,79479
magny_cours,2001,79643.7157,76088
magny_cours,2002,78463.0736,75045
magny_cours,2003,79642.0176,75512
magny_cours,2004,78914.1791,75377
magny_cours,2005,80945.9898,76423
magny_cours,2006,80710.2971,77111
magny_cours,2007,79237.3621,76099
magny_cours,2008,79683.9313,76630
spa,1996,122689.9333,113067
spa,1997,132219.6422,112692
spa,1998,145076.6424,123766
spa,1999,119180.4299,113955
spa,2000,123424.7850,113803
spa,2001,116570.8647,109758
spa,2002,112631.6426,107176
spa,2004,126997.6330,105108
spa,2005,126147.6973,111453
spa,2007,112448.3506,108036
spa,2008,114505.9312,107930
spa,2009,115552.6275,107263
spa,2010,122916.4261,109069
spa,2011,120528.8052,109883
spa,2012,124004.4085,112822
spa,2013,116210.2876,110756
spa,2014,117314.9417,110511
spa,2015,119295.9457,112416
spa,2016,144289.0939,111583
spa,2017,116336.5436,106577
spa,2018,116911.7159,106286
villeneuve,1996,85562.1098,81916
villeneuve,1997,87191.9246,79635
villeneuve,1998,91242.9223,79379
villeneuve,1999,89516.0084,80382
villeneuve,2000,88222.3475,79049
villeneuve,2001,84126.5329,77205
villeneuve,2002,81926.6528,75960
villeneuve,2003,80029.3873,76040
villeneuve,2004,77728.3484,73622
villeneuve,2005,81664.0783,74384
villeneuve,2006,82999.8807,75841
villeneuve,2007,89093.8574,76367
villeneuve,2008,83696.9535,77387
villeneuve,2010,82746.4415,76972
villeneuve,2011,220450.7151,76956
villeneuve,2012,80304.9434,75752
villeneuve,2013,80961.1185,76182
villeneuve,2014,86272.6695,78504
villeneuve,2015,80396.1074,76987
villeneuve,2016,79753.7360,75599
villeneuve,2017,81126.5213,74551
villeneuve,2018,79538.2056,73864
americas,2012,104841.8456,99347
americas,2013,107876.4299,99856
americas,2014,108864.5681,101379
americas,2015,120262.1051,100666
americas,2016,107481.7115,99877
americas,2017,102314.0332,97766
americas,2018,102935.6262,97392
ricard,2018,103984.5727,94225
jerez,1997,87072.1465,83135
fuji,2007,111066.2219,88193
fuji,2008,81808.4340,78426
hockenheimring,1996,111430.5627,106504
hockenheimring,1997,109984.9603,105747
hockenheimring,1998,109460.4321,106116
hockenheimring,1999,110625.7403,105270
hockenheimring,2000,114235.4579,104300
hockenheimring,2001,106369.7866,101808
hockenheimring,2002,80844.4777,76462
hockenheimring,2003,82703.9511,74917
hockenheimring,2004,77843.4709,73780
hockenheimring,2005,79924.0690,74873
hockenheimring,2006,79954.0946,76357
hockenheimring,2008,82439.6207,75987
hockenheimring,2010,80806.1737,75824
